SE,Sweden,K,Blekinge lan
SE,Sweden,W,Dalarnas lan
SE,Sweden,X,Gavleborgs lan
SE,Sweden,I,Gotlands lan
SE,Sweden,N,Hallands lan
SE,Sweden,Z,Jamtlands lan
SE,Sweden,F,Jonkopings lan
SE,Sweden,H,Kalmar lan
SE,Sweden,G,Kronobergs lan
SE,Sweden,BD,Norrbottens lan
SE,Sweden,T,Orebro lan
SE,Sweden,E,Ostergotlands lan
SE,Sweden,M,Skane lan
SE,Sweden,D,Sodermanlands lan
SE,Sweden,AB,Stockholms lan
SE,Sweden,C,Uppsala lan
SE,Sweden,S,Varmlands lan
SE,Sweden,AC,Vasterbottens lan
SE,Sweden,Y,Vasternorrlands lan
SE,Sweden,U,Vastmanlands lan
SE,Sweden,O,Vastra Gotalands lan
